name,website,phone,lat,lng,address,suburb,postcode
Jax Tyres Penrith,http://test.com,247264457,-33.757007,150.690235,"1/160 Station Street, Penrith, NSW 2750",Penrith,2750
Mister Tyres,,294823030,-33.69802466,151.1100882,"21 King Road, Hornsby. NSW 2077",Hornsby.,2077
Tyrepower Gregory Hills,https://tyrepowergregoryhills.com.au/,291884595,-34.02448449,150.7668826,"5/72 Lasso Road, Gregory Hills, NSW 2557",Gregory Hills,2557
Penrith City Tyres & Automotive,https://www.pcta.com.au/,247223655,-33.75350587,150.7052892,"25-27 Henry St, Penrith NSW 2750",Penrith,2750
"Modkingz - Wheels, Tyres & Performance",https://www.modkingz.com.au/,288804628,-33.89846014,150.9469467,"323 Hume Hwy, Cabramatta NSW 2166",Cabramatta,2166
Tyrepower Brookvale,https://www.tyrepowerbrookvale.com.au/,280807790,-33.76285039,151.2730005,"12/14 Chard Rd, Brookvale NSW 2100",Brookvale,2100
HPR Wheels And Tyres,https://www.hprtyres.com.au/,296816889,-33.87028693,150.9839253,"unit 1/12-18 Fairfield St, Fairfield East NSW 2165",Fairfield East,2165
Bridgestone Service Centre Port Lincoln,https://www.bridgestone.com.au/stores/sa/bridgestone-service-centre-port-lincoln,876343909,-34.7248328,135.8652724,"110 Liverpool St, Port Lincoln SA 5606",Port Lincoln,5606
Tyreright Palmerston,https://www.tyreright.com.au,889311947,-12.4738728,130.9934735,"4/24 McCourt Rd, Yarrawonga NT 0830",Yarrawonga,0830
Tyrepower Holden Hill,https://www.tyrepowerholdenhill.com.au/,882619222,-34.85558698,138.6590467,"564 North East Road, Holden Hill SA 5088",Holden Hill,5088
Southside Tyrepower Morphett Vale,http://www.morphettvaletyrepower.com.au/,881860622,-35.11982975,138.5238375,"159 Main S Rd, Morphett Vale SA 5162",Morphett Vale,5162
Adelaide Tyrepower,https://www.adelaidetyrepower.com/,883544580,-34.91980268,138.5729253,"33 Sir Donald Bradman Dr, Mile End South SA 5031",Mile End South,5031
Tyrepower Cheltenham,https://www.tyrepowercheltenham.com.au/,882447277,-34.85596652,138.5174105,"959 Port Rd, Cheltenham SA 5014",Cheltenham,5014
Frankston Tyrepower,https://www.frankstontyrepower.com.au/,397832427,-38.14141396,145.1287409,"41-45 Beach St, Frankston VIC 3199",Frankston,3199
Tyrepower Reservoir,https://www.tyrepowerreservoir.com.au/,394605593,-37.70130555,144.985229,"273 Edwardes St, Reservoir VIC 3073",Reservoir,3073
Tyrepower Bairnsdale,https://www.tyrepowerbairnsdale.com.au/,351522999,-37.79110525,147.6039845,"527 Princes Hwy, Bairnsdale VIC 3875",Bairnsdale,3875
Northern Wheels & Tyres,http://www.northernwheelsandtyres.com.au/,394083545,-37.65210379,145.0238375,"696 High St, Epping VIC 3076",Epping,3076
Knox Tyrepower,https://www.tyrepowerknox.com.au/,397533611,-37.89898145,145.2208647,"1271 Ferntree Gully Rd, Scoresby VIC 3179",Scoresby,3179
Statewide 4X4,http://www.statewide4x4.com.au/,394847838,-37.73710424,144.852698,"11 Slater Parade, Keilor East VIC 3033",Keilor East,3033
The Wheel Gallery,http://www.thewheelgallery.com.au/,393575545,-37.66610426,144.9552897,"1830 Sydney Rd, Campbellfield VIC 3061",Campbellfield,3061
Tyrepower Booragoon,https://www.booragoontyrepower.com.au/,893302155,-32.04475882,115.8214905,"Unit 9 B/248 Leach Hwy, Booragoon WA 6154",Booragoon,6154
Bridgestone Service Centre Kalgoorlie,https://www.bridgestone.com.au/stores/wa/bridgestone-service-centre-kalgoorlie,890999084,-30.77943619,121.4333962,"68 Great Eastern Hwy, Kalgoorlie WA 6430",Kalgoorlie,6430
Ian Diffen City Discount Tyres Rockingham,http://www.citydiscounttyres.com.au/rockingham,895283233,-32.28707102,115.7404134,"Corner Read Street &, Robinson Rd, Rockingham WA 6168",Robinson Rd,6168
Gas Wheels & Tyres,https://www.gaswheels.com.au/,755545445,-28.10452412,153.424283,"1/19 Central Dr, Burleigh Heads QLD 4220",Burleigh Heads,4220
Nitro Crew - Wheels & Tyres Wynnum,http://nitrocrew.com.au/,733963770,-27.43887704,153.1671746,"11 Thorne St, Wynnum QLD 4178",Wynnum,4178
Nitro Crew - Wheels & Tyres Mansfield,http://www.nitrocrew.com.au/,732193888,-27.52655157,153.0990674,"2/51 Secam St, Mansfield QLD 4122",Mansfield,4122
Nitro Crew - Wheels & Tyres Capalaba,http://www.nitrocrew.com.au/,721404910,-27.5265602,153.1947228,"80 Redland Bay Rd, Capalaba QLD 4157",Capalaba,4157
Jax Tyres & Auto Ipswich West,https://www.jaxtyres.com.au,738196757,-27.61590904,152.7516282,"222 Brisbane St, West Ipswich QLD 4305",West Ipswich,4305
TJM Caloundra,https://www.tjm.com.au/stores/caloundra,753187201,-26.76715336,153.121626,"692 Nicklin Way, Currimundi QLD 4551",Currimundi,4551
Arnold'S Advanced Tyre Centre,https://arnoldstyres.com.au/,749226061,-23.3677321,150.5220589,"86 Musgrave St, Berserker QLD 4701",Berserker,4701
All Coast Tyre Solutions,http://www.allcoasttyres.com.au/,754584811,-26.55647537,152.9607685,"17 Pioneer Rd, Yandina QLD 4561",Yandina,4561
All Coast Tyres And Mechanical,http://www.allcoasttyres.com.au/,753134955,-26.66600519,153.08668,"71 Wises Rd, Maroochydore QLD 4558",Maroochydore,4558
All Coast Tyre Solutions Gympie,https://www.allcoasttyres.com.au/,753213170,-26.17873544,152.6666565,"50/56 Mellor St, Gympie QLD 4570",Gympie,4570
All Coast Tyre Solutions Nambour,https://www.allcoasttyres.com.au/stores,752278411,-26.62128561,152.9604759,"22 Coronation Ave, Nambour QLD 4560",Nambour,4560
I Tyre,https://ityres.net.au/,422675613,-27.56186322,152.9344258,"50 Spine St, Sumner Park QLD 4074",Sumner Park,4074
Bridgestone Service Centre Winnellie,https://www.bridgestone.com.au/stores/nt/bridgestone-service-centre-winnellie,1300 749 378,-12.42477066,130.8777365,"432 Stuart Hwy, Winnellie NT 0820",Winnellie,0820
Central Tyre Service Shepparton,https://www.centraltyreservice.net.au/,358219555,-36.37923065,145.3982638,"117 Welsford St, Shepparton VIC 3630",Shepparton,3630
Clarence Valley Tyre Centre,https://www.clarencevalleytyrecentre.com.au/,02 6642 7688,-29.70560914,152.941716,"1A Spring St, South Grafton NSW 2460",South Grafton,2460
Mt Wheels,http://www.mtwheels.com.au/,887233231,-37.81785022,140.7506798,"332 Commercial St W, Mount Gambier SA 5290",Mount Gambier,5290
Phatwheels & Tyres,https://www.phatwheels.com.au/,(07) 5453 7443,-26.65870841,153.0416377,"Unit 1/40 Kerryl St, Kunda Park QLD 4556",Kunda Park,4556
Eltham Tyrepower,https://www.elthamtyrepower.com.au/,394311195,-37.71800058,145.1401077,"24 Bridge St, Eltham VIC 3095",Eltham,3095
Tyrepower Creswick,https://www.tyrepowercreswick.com.au/,353458101,-37.42327043,143.8945652,"63 Albert St, Creswick VIC 3363",Creswick,3363
Tyrepower Colac,https://www.tyrepowercolac.com.au/,352315336,-38.33845009,143.57692,"386 Murray St, Colac VIC 3250",Colac,3250
